DESTINO;ORIGEN; CANTI ; FOBDOL ; FOBPES 
ABW;BOG;161;651;2.856.812,00
ABW;BOG;4.325,00;1.384,00;5.855.164,00
ABW;BOG;3.340,00;1.563,00;6.614.558,00
ABW;BOG;169;931;3.939.544,00
ABW;BOG;13.566,00;5.148,00;21.823.549,00
ABW;BOG;564;214;907.325,00
ABW;BOG;377;143;606.494,00
ABW;BOG;1.317,00;499;2.118.662,00
ABW;BOG;752;285;1.209.767,00
ABW;BOG;376;142;604.883,00
ABW;BOG;29.025,00;11.015,00;46.692.289,00
ABW;BOG;90;643;2.728.335,00
ABW;BOG;30;87;361.378,00
ABW;BOG;120;313;1.293.545,00
ABW;BOG;24;387;1.636.464,00
ABW;BOG;344;5.766,00;24.341.041,00
ABW;BOG;75;2.378,00;10.038.465,00
ABW;BOG;347;7.476,00;31.559.955,00
ABW;BOG;41;205;858.337,00
ABW;BOG;8;18;75.985,00
ABW;BOG;4.591,00;1.390,00;6.100.308,00
ABW;BOG;200;60;265.743,00
ABW;BOG;998;302;1.326.087,00
ABW;BOG;798;241;1.060.343,00
ABW;BOG;600;181;797.231,00
ABW;BOG;200;60;265.743,00
ABW;BOG;7.985,00;2.418,00;10.610.277,00
ABW;BOG;71;362;1.591.831,00
ABW;BOG;225;3.300,00;13.598.046,00
ABW;BOG;86;1.444,00;5.950.999,00
ABW;BOG;21;350;1.445.472,00
ABW;BOG;113;3.388,00;13.963.915,00
ABW;BOG;241;5.254,00;21.651.509,00
ABW;BOG;60;1.682,00;6.933.355,00
ABW;BOG;228;4.975,00;20.501.444,00
ABW;BOG;12;54;225.233,00
ABW;BOG;52;582;2.468.706,00
ABW;BOG;29;230;977.860,00
ABW;BOG;41;2.393,00;10.022.194,00
ABW;BOG;36;1.953,00;8.179.742,00
ABW;BOG;310;6.635,00;27.783.323,00
ABW;BOG;144;6.164,00;25.810.404,00
ABW;BOG;16;1.099,00;4.602.361,00
ABW;BOG;325;15.457,00;63.692.423,00
ABW;BOG;21;567;2.336.391,00
ABW;BOG;4.725,00;1.542,00;6.687.716,00
ABW;BOG;250;35;146.545,00
ABW;BOG;1.750,00;242;1.045.087,00
ABW;BOG;2.630,00;657;2.824.402,00
ABW;BOG;1.660,00;498;2.147.191,00
ABW;BOG;500;316;1.376.905,00
ABW;BOG;5.437,00;2.689,00;11.577.033,00
ABW;BOG;188;2.514,00;10.734.050,00
ABW;BOG;60;122;517.399,00
ABW;BOG;55;124;525.195,00
ABW;BOG;168;366;1.546.171,00
ABW;BOG;60;122;526.943,00
ABW;BOG;55;124;535.375,00
ABW;BOG;168;366;1.577.244,00
ABW;BOG;389;348.101,00;1.508.545.745,00
ABW;BOG;474;3.792,00;16.032.757,00
BIH;BOG;5;40;168.558,00
BIH;BOG;31.755,00;8.891,00;37.534.489,00
BIH;BOG;9.000,00;1.080,00;4.559.101,00
AGO;BOG;3;12.299,00;52.262.615,00
AGO;BOG;30;354;1.507.842,00
AGO;BOG;9;299;1.273.212,00
AGO;BOG;23;1.455,00;6.183.229,00
AGO;BOG;2;565;2.403.659,00
SAU;BOG;920;766;3.241.562,00
SAU;BOG;8.772,00;5.875,00;24.801.763,00
SAU;BOG;11.948,00;9.418,00;40.272.653,00
SAU;BOG;10;138;601.597,00
SAU;BOG;962;365;1.593.622,00
SAU;BOG;30;121;512.749,00
SAU;BOG;20;118;500.058,00
SAU;BOG;28;128;541.941,00
SAU;BOG;16;67;284.296,00
SAU;BOG;14;50;213.222,00
SAU;BOG;45;138;586.997,00
SAU;BOG;25;148;628.245,00
SAU;BOG;15;78;332.102,00
SAU;BOG;20;90;380.754,00
SAU;BOG;17;9.267,00;37.566.193,00
SAU;BOG;6;1.711,00;6.935.983,00
SAU;BOG;3;891;3.611.900,00
SAU;BOG;16;20.146,00;84.895.018,00
SAU;BOG;6;51.444,00;216.785.832,00
SAU;BOG;12.900,00;4.093,00;16.950.872,00
SAU;BOG;800;152;629.497,00
SAU;BOG;210;2;8.697,00
SAU;BOG;540;172;715.639,00
SAU;BOG;610;684;2.834.808,00
SAU;BOG;700;219;906.973,00
SAU;BOG;469;2.582,00;10.693.172,00
SAU;BOG;5.040,00;46.176,00;194.586.301,00
SAU;BOG;8.400,00;76.960,00;324.950.816,00
SAU;BOG;4.219,00;14.840,00;65.099.789,00
SAU;BOG;720;10.320,00;42.739.557,00
SAU;BOG;130;1.096,00;4.688.905,00
SAU;BOG;260;1.508,00;6.466.504,00
SAU;BOG;133;617;2.647.692,00
SAU;BOG;73;482;2.084.242,00
SAU;BOG;153;1.153,00;4.963.867,00
SAU;BOG;12;112;478.615,00
SAU;BOG;20;180;756.275,00
SAU;BOG;2;119;508.026,00
SAU;BOG;8;0;2.882,00
SAU;BOG;0;7;30.774,00
SAU;BOG;0;1.863,00;7.897.655,00
SAU;BOG;4;1.777,00;7.551.947,00
SAU;BOG;1;424;1.798.628,00
DZA;BOG;17;750;3.166.042,00
DZA;BOG;2.943,00;19.755,00;83.741.533,00
ARG;BOG;50;1.909,00;8.045.775,00
ARG;BOG;61;38.950,00;165.498.550,00
ARG;BOG;2;3.250,00;13.809.250,00
ARG;BOG;31.460,00;3.146,00;13.313.777,00
ARG;BOG;95.950,00;26.446,00;115.290.872,00
ARG;BOG;51.702,00;10.376,00;43.708.900,00
ARG;BOG;64;1.010,00;4.196.489,00
ARG;BOG;13.273,00;2.362,00;9.784.294,00
ARG;BOG;3.200,00;5.844,00;24.284.793,00
ARG;BOG;2.750,00;84.190,00;356.249.793,00
ARG;BOG;1.513,00;14.171,00;59.953.243,00
ARG;BOG;300;2.937,00;12.449.926,00
ARG;BOG;1.200,00;7.668,00;31.138.444,00
ARG;BOG;2;3.733,00;15.159.728,00
ARG;BOG;2.507,00;23.471,00;99.298.762,00
ARG;BOG;78;1.880,00;8.246.920,00
ARG;BOG;7;685;2.823.778,00
ARG;BOG;20;145;617.176,00
ARG;BOG;0;32;138.271,00
ARG;BOG;0;73;313.039,00
ARG;BOG;5;43;182.482,00
ARG;BOG;0;850;3.603.022,00
ARG;BOG;2;36;152.598,00
ARG;BOG;8;734;3.111.951,00
ARG;BOG;1;44;188.883,00
ARG;BOG;0;1.297,00;5.497.788,00
ARG;BOG;0;28;120.637,00
ARG;BOG;1;143;606.155,00
ARG;BOG;10;32;136.067,00
ARG;BOG;4;34;147.681,00
ARG;BOG;10;10;45.779,00
ARG;BOG;3;73;310.914,00
ARG;BOG;1.300,00;78;331.663,00
ARG;BOG;1;172;732.465,00
ARG;BOG;72;61;261.758,00
ARG;BOG;12;2.970,00;12.438.099,00
ARG;BOG;17.075,00;2.236,00;9.293.894,00
ARG;BOG;760;471;1.957.807,00
ARG;BOG;18.625,00;5.550,00;23.549.887,00
ARG;BOG;4.200,00;462;1.934.398,00
ARG;BOG;355;304;1.274.944,00
ARG;BOG;3.240,00;670;2.848.529,00
ARG;BOG;2;881;3.867.630,00
ARG;BOG;179;17.467,00;75.018.283,00
ARG;BOG;2;64;283.553,00
ARG;BOG;1;99;404.686,00
ARG;BOG;896.800,00;44.815,00;187.408.241,00
ARG;BOG;1;2.285,00;10.023.518,00
ARG;BOG;60.000,00;5.151,00;21.746.912,00
ARG;BOG;0;214;868.882,00
ARG;BOG;69;3.284,00;13.313.439,00
ARG;BOG;1;214;869.815,00
ARG;BOG;155;11.081,00;44.922.795,00
ARG;BOG;24;1.404,00;5.695.330,00
ARG;BOG;12;137;555.973,00
ARG;BOG;2.024,00;1.463.556,00;6.197.042.738,00
AUS;BOG;216.960,00;38.244,00;161.422.463,00
AUS;BOG;19.600,00;5.467,00;23.042.655,00
AUS;BOG;22.000,00;2.200,00;9.288.598,00
AUS;BOG;8.100,00;4.860,00;20.560.764,00
AUS;BOG;335;223;942.707,00
AUS;BOG;1.500,00;315;1.329.958,00
AUS;BOG;5.400,00;1.134,00;4.787.850,00
AUS;BOG;7.150,00;2.431,00;10.663.970,00
AUS;BOG;33.600,00;5.880,00;23.877.680,00
AUS;BOG;16.850,00;3.370,00;14.783.044,00
AUS;BOG;60.770,00;11.638,00;47.178.875,00
AUS;BOG;2.988,00;3.002,00;13.170.507,00
AUS;BOG;40;84;368.479,00
AUS;BOG;500;20;84.639,00
AUS;BOG;140;464;1.967.019,00
AUS;BOG;367;10.110,00;42.772.880,00
AUS;BOG;5;165;700.771,00
AUS;BOG;189;1.392,00;5.911.294,00
AUS;BOG;4;14;60.644,00
AUS;BOG;1;1;5.318,00
AUS;BOG;149;1.940,00;8.222.109,00
AUS;BOG;208;6.935,00;29.349.317,00
AUS;BOG;2.791,00;63.011,00;266.799.588,00
AUS;BOG;254;3.849,00;16.768.330,00
AUS;BOG;704;18.134,00;75.409.223,00
AUS;BOG;3.750,00;65.651,00;276.585.352,00
AUS;BOG;150;1.714,00;7.201.422,00
AUS;BOG;200;782;3.430.806,00
AUS;BOG;293;23.040,00;101.068.646,00
AUS;BOG;3;414;1.820.332,00
AUS;BOG;1.650,00;313;1.270.853,00
AUS;BOG;1.000,00;180;753.661,00
AUS;BOG;20.800,00;7.687,00;32.689.004,00
AUS;BOG;16;29.805,00;130.010.271,00
AUS;BOG;5;750;3.045.622,00
AUS;BOG;4.450,00;801;3.386.139,00
AUS;BOG;49;173.810,00;762.446.822,00
AUS;BOG;0;20;82.412,00
AUS;BOG;35.675,00;8.596,00;36.289.179,00
AUS;BOG;640;896;3.782.365,00
AUS;BOG;630;1.113,00;4.700.939,00
AUS;BOG;1.725,00;2.987,00;12.610.347,00
AUS;BOG;20.700,00;2.958,00;12.486.871,00
AUS;BOG;2.400,00;504;2.127.580,00
AUS;BOG;1.340,00;1.130,00;4.772.703,00
AUS;BOG;47;532;2.245.779,00
AUS;BOG;24;80;341.619,00
AUS;BOG;216.308,00;52.742,00;222.879.777,00
AUS;BOG;28.500,00;5.890,00;24.866.097,00
AUS;BOG;45.000,00;8.855,00;36.791.993,00
AUS;BOG;1.620,00;820;3.490.115,00
AUS;BOG;5.670,00;1.795,00;7.635.903,00
AUS;BOG;92;1.325,00;5.581.562,00
AUS;BOG;20.775,00;4.729,00;20.014.696,00
AUS;BOG;107;697;3.038.501,00
AUS;BOG;7.750,00;1.472,00;6.261.202,00
AUS;BOG;450;292;1.228.947,00
AUS;BOG;100;363.986,00;1.525.817.517,00
AUS;BOG;744;18.677,00;79.361.419,00
AUT;BOG;12.480,00;2.121,00;9.014.678,00
AUT;BOG;34.560,00;5.875,00;24.963.724,00
AUT;BOG;19.152,00;3.700,00;15.736.815,00
AUT;BOG;72.240,00;10.598,00;45.031.751,00
AUT;BOG;520;99;421.500,00
AUT;BOG;22.890,00;4.132,00;17.558.567,00
AUT;BOG;28.960,00;4.614,00;19.604.113,00
AUT;BOG;97.860,00;15.101,00;64.154.490,00
AUT;BOG;240;48;203.952,00
AUT;BOG;16.270,00;2.974,00;12.639.925,00
AUT;BOG;175;3.463,00;14.715.349,00
AZE;BOG;9.140,00;5.970,00;25.304.194,00
AZE;BOG;64;153;673.790,00
AZE;BOG;10.450,00;1.815,00;7.667.967,00
AZE;BOG;4;4.549,00;19.331.760,00
BHS;BOG;1;1.000,00;4.187.010,00
BHS;BOG;8;1.235,00;5.250.941,00
BHS;BOG;124;9.269,00;39.394.259,00
BHS;BOG;927;10.978,00;46.656.248,00
BHS;BOG;8;265;1.128.043,00
BHS;BOG;5;457;1.944.242,00
BHS;BOG;1.911,00;35.462,00;150.704.788,00
BHS;BOG;96;3.252,00;13.822.096,00
BHS;BOG;13;12.900,00;54.684.725,00
